   Player ID                      Player Name          Age   Height(cm)   Weight(kg)
   000000068                     Abiola Dauda           30      180         74.8
   000000069                       Abou Diaby           31      193         76.2
   000000070                 Aboubacar Tandia           34      193         83.9
   000000071                 Aboubakar Kamara           23      178         76.2
   000000072                Aboubakar Oumarou           31      183         76.2
   000000073                 Abraham Gonzalez           32      178         79.8
   000000074               Abraham Guie Gneki           31      180         69.9
   000000075                  Abraham Kudemor           33      183         81.2
   000000076                   Abraham Minero           32      175         71.2
   000000077                 Abraham Paz Cruz           39      178         74.8
   000000078                    Achille Coser           35      185         78.9
   000000079                    Achille Emana           35      180         77.1
   000000080                 Achille Vaarnold           22      175         71.2
   000000081                  Achmed Ahahaoui           34      178         68.9
   000000082                    Achraf Lazaar           25      183         76.2
   000000083                      Aco Stojkov           35      178         74.8
   000000084                         Adailton           35      191         84.8
   000000085                         Adailton           41      175         73.0
   000000086              Adalberto Penaranda           20      183         78.0
   000000087                   Adam Armstrong           21      173         68.9
   000000088                       Adam Banas           35      185         78.9
   000000089                      Adam Bodzek           32      183         78.9
   000000090                      Adam Bogdan           30      193         89.8
   000000091                       Adam Brown           22      178         64.0
   000000092                       Adam Buksa           21      191         78.0
   000000093                    Adam Campbell           23      170         73.0
   000000094                      Adam Collin           33      191         78.0
   000000095                     Adam Cummins           25      188         78.0
   000000096                       Adam Danch           30      183         81.2
   000000097                        Adam Deja           24      185         82.1
   000000098                       Adam Drury           39      180         73.0
   000000099                       Adam Drury           24      178         68.9
   000000100                        Adam Duda           27      188         77.1
   000000101                    Adam Dzwigala           22      185         79.8
   000000102                    Adam Federici           33      188         89.8
   000000103                   Adam Fraczczak           30      183         76.2
   000000104                     Adam Gyurcso           27      180         59.9
   000000105                     Adam Hammill           30      178         73.9
   000000106                      Adam Henley           23      178         77.1
   000000107                     Adam Hlousek           29      188         76.2
   000000108                     Adam Johnson           30      175         63.1
   000000109                        Adam King           22      180         74.8
   000000110                    Adam Kokoszka           31      188         82.1
   000000111                     Adam Lallana           29      173         73.0
   000000112                   Adam Le Fondre           31      175         73.0
   000000113                       Adam Maher           24      175         64.9
   000000114                   Adam Marciniak           29      183         82.1
   000000115                     Adam Marusic           25      178         81.2
   000000116                      Adam Masina           24      188         78.0
   000000117                    Adam Matthews           26      178         71.2
   000000118                   Adam Matuschyk           29      180         74.8
   000000119                       Adam Mojta           31      178         69.9
   000000120                      Adam Morgan           24      178         71.2
   000000121                       Adam Nemec           32      191         89.8
   000000122                       Adam Ounas           21      173         64.0
   000000123                       Adam Pazio           25      183         72.1
   000000124                      Adam Pinter           29      191         83.9
   000000125                      Adam Rooney           30      178         78.0
   000000126                  Adam Ryczkowski           21      178         71.2
   000000127                      Adam Sarota           29      183         73.0
   000000128                       Adam Smith           27      180         81.2
   000000129                      Adam Szalai           30      193         91.2
   000000130                     Adam Taggart           24      183         68.9
   000000131                        Adam Vass           29      180         74.8
   000000132                 Adam Waszkiewicz           24      183         78.9
   000000133                         Adama Ba           24      178         68.0
   000000134                  Adama Coulibaly           37      185         83.0
   000000135                   Adama Francois           28      193         79.8
   000000136                   Adama Soumaoro           25      188         93.0
   000000137                     Adama Traore           28      170         73.0
   000000138                     Adama Traore           22      178         72.1
   000000139                  Adamo Coulibaly           36      188         78.0
   000000140                     Adel Taarabt           28      180         78.0
   000000141                      Adem Ljajic           26      183         73.9
   000000142                   Aderlan Santos           29      193         83.0
   000000143                          Aderlan           27      178         71.2
   000000144                     Adil Auassar           31      188         84.8
   000000145                       Adil Chihi           30      183         78.0
   000000146                     Adil Hermach           31      183         69.9
   000000147                        Adil Rami           32      191         88.0
   000000148                       Adil Ramzi           40      178         73.9
   000000149                          Adilson           36      193         88.0
   000000150                     Adis Jahovic           31      191         89.8
   000000151                 Adlene Guedioura           32      178         81.2
   000000152                   Admir Aganovic           31      183         79.8
   000000153                    Admir Mehmedi           27      183         79.8
   000000154                     Adnan Alisic           34      180         71.2
   000000155                   Adnan Custovic           40      185         83.0
   000000156                    Adnan Januzaj           23      183         74.8
   000000157                     Adnan Mravac           36      193         83.9
   000000158               Adnane Tighadouini           25      178         72.1
   000000159                     Adrian Basta           29      180         78.0
   000000160                      Adrian Blad           27      165         62.1
   000000161                   Adrian Chomiuk           29      183         81.2
   000000162                   Adrian Colunga           33      173         69.9
   000000163                   Adrian Cristea           34      178         73.0
   000000164            Adrian Daniel Calello           30      178         82.1
   000000165                   Adrian Embarba           26      173         66.2
   000000166                  Adrian Gonzalez           29      183         76.2
   000000167                    Adrian Gunino           29      168         64.0
   000000168               Adrian Klepczynski           37      188         74.8
   000000169                     Adrian Lopez           30      183         73.0
   000000170                  Adrian Mariappa           31      178         81.2
   000000171                     Adrian Marin           21      180         73.0
   000000172                   Adrian Mrowiec           34      191         83.9
   000000173                      Adrian Mutu           38      183         76.2
   000000174                     Adrian Nikci           28      183         76.2
   000000175               Adrian Paluchowski           30      180         74.8
   000000176                  Adrian Rakowski           27      180         69.9
   000000177                     Adrian Ramos           32      185         74.8
   000000178         Adrian Ricardo Centurion           25      175         64.9
   000000179                 Adrian Ricchiuti           39      168         72.1
   000000180           Adrian Sardinero Corpa           27      180         78.0
   000000181                    Adrian Stoian           27      178         66.2
   000000182                    Adrian Winter           31      178         74.8
   000000183                           Adrian           31      188         77.1
   000000184                Adriano De Pierro           27      185         77.1
   000000185                 Adriano Facchini           35      188         78.0
   000000186           Adriano Ferreira Pinto           38      178         81.2
   000000187             Adriano Jose de Lara           30      185         86.2
   000000188         Adriano Pereira da Silva           36      180         74.8
   000000189                    Adriano Russo           30      185         72.1
   000000190                          Adriano           36      175         76.2
   000000191                          Adriano           36      188         88.0
   000000192                          Adriano           33      173         73.0
   000000193                          Adriano           38      183         79.8
   000000194                      Adrien Goni           29      173         66.2
   000000195                     Adrien Hunou           24      175         62.1
   000000196                    Adrien Rabiot           23      188         71.2
   000000197                   Adrien Rawyler           24      178         68.0
   000000198                  Adrien Regattin           26      168         66.2
   000000199                     Adrien Silva           29      175         68.9
   000000200                 Adrien Thomasson           24      178         72.1
   000000201                    Adrien Trebel           27      173         72.1
   000000202                           Adryan           23      175         71.2
   000000203                           Afonso           25      170         63.1
   000000204                   Afriyie Acquah           26      178         69.9
   000000205                      Ager Aketxe           24      175         68.9
   000000206                     Agim Ibraimi           29      178         71.2
   000000207                     Agon Mehmeti           28      183         78.9
   000000208                 Agustin Vuletich           26      185         78.9
   000000209                       Ahmed Ammi           37      180         74.8
   000000210             Ahmed Apimah Barusso           33      183         74.8
   000000211               Ahmed El Messaoudi           22      183         78.0
   000000212                Ahmed El Mohamady           30      183         78.0
   000000213                    Ahmed Hamoudi           27      173         67.1
   000000214                Ahmed Hassan Koka           25      191         84.8
   000000215                     Ahmed Hegazy           27      196         83.0
   000000216                    Ahmed Kantari           32      185         82.1
   000000217                      Ahmed Kashi           29      178         76.2
   000000218                       Ahmed Musa           25      168         68.9
   000000219                 Ahmed Saied Okka           34      185         78.9
   000000220                Ahmed Samir Farag           31      183         86.2
   000000221                   Ahmed Soukouna           28      183         76.2
   000000222                      Ahmet Ozcan           23      183         74.8
   000000223                   Aidan Connolly           22      165         64.9
   000000224                    Aidan Nesbitt           21      175         64.9
   000000225                Aiden Chippendale           25      173         68.0
   000000226                    Aiden McGeady           32      178         71.2
   000000227               Aimo Stefano Diana           40      175         73.9
   000000228                    Airam Cabrera           30      180         78.0
   000000229                           Airton           28      180         77.1
   000000230                           Aislan           30      193         89.8
   000000231                   Aissa Laidouni           21      183         73.0
   000000232                      Aissa Mandi           26      183         78.0
   000000233                      Aitor Nunez           30      178         69.9
   000000234                       Aitor Ocio           41      188         77.1
   000000235                 Aiyegbeni Yakubu           35      183         83.0
   000000236                      Akaki Gogia           26      178         73.0
   000000237                   Akihiro Ienaga           31      173         69.9
   000000238                   Akoete Eninful           25      183         69.9
   000000239                     Akos Buzsaky           36      180         73.9
   000000240                       Akpo Sodje           37      188         79.8
   000000241                   Akwetey Mensah           35      173         73.9
   000000242                  Alaeddine Yahia           36      188         81.2
   000000243                  Alain Cantareil           34      178         69.9
   000000244                        Alain Nef           36      191         88.0
   000000245               Alain Pierre Mendy           28      183         72.1
   000000246                     Alain Rochat           35      183         78.0
   000000247                    Alain Schultz           35      175         74.8
   000000248                     Alain Traore           29      175         73.0
   000000249                       Alain Wiss           27      180         67.1
   000000250                       Alan Combe           44      185         78.0
   000000251                         Alan Gow           35      183         69.9
   000000252                     Alan Haydock           42      175         72.1
   000000253                    Alan Henrique           26      188         82.1
   000000254                      Alan Hutton           33      185         73.0
   000000255                      Alan Kardec           29      188         79.8
   000000256                      Alan Mannus           35      188         92.1
   000000257                      Alan Martin           29      183         74.8
   000000258                     Alan Maybury           39      180         73.0
   000000259                     Alan O'Brien           33      178         71.2
   000000260                      Alan Schons           24      180         73.9
   000000261                       Alan Smith           37      180         81.2
   000000262                        Alan Tate           35      185         84.8
   000000263                       Alan Uryga           24      191         84.8
   000000264                             Alan           38      180         69.9
   000000265                  Alassane Diallo           23      175         59.9
   000000266                    Alassane Plea           25      180         78.9
   000000267                   Alassane Tambe           26      183         73.0
   000000268                   Alassane Toure           29      183         73.0
   000000269                     Alban Joinel           38      188         82.1
   000000270                     Alban Lafont           19      193         77.1
   000000271                       Alban Meha           32      175         76.2
   000000272                     Alban Pnishi           27      188         81.2
   000000273         Albano Benjamin Bizzarri           40      193         88.9
   000000274                    Albert Baning           33      193         81.2
   000000275                   Albert Bunjaku           34      178         74.8
   000000276                    Albert Crusat           35      165         64.9
   000000277                 Albert Meyong Ze           37      183         71.2
   000000278             Albert Rafetraniaina           21      175         64.9
   000000279                     Albert Riera           36      188         83.0
   000000280                    Albert Rusnak           23      180         64.9
   000000281                    Albert Streit           38      180         78.9
   000000282                 Alberto Aquilani           33      185         78.9
   000000283                    Alberto Botia           29      188         79.8
   000000284                 Alberto Brignoli           26      188         73.9
   000000285                    Alberto Bueno           30      178         64.0
   000000286                Alberto Cifuentes           38      188         67.1
   000000287              Alberto De la Bella           32      183         82.1
   000000288                  Alberto Fontana           51      185         73.0
   000000289                   Alberto Garcia           33      183         77.1
   000000290                Alberto Gilardino           35      183         78.9
   000000291                Alberto Giuliatto           34      180         77.1
   000000292                   Alberto Grassi           23      183         74.8
   000000293                  Alberto Guitian           27      183         73.9
   000000294                     Alberto Lopo           38      185         81.2
   000000295            Alberto Maria Fontana           43      188         83.0
   000000296                   Alberto Moreno           25      170         64.9
   000000297                 Alberto Paloschi           28      183         79.8
   000000298                Alberto Pelagotti           29      188         82.1
   000000299                    Alberto Perea           27      175         66.2
   000000300                   Alberto Pomini           37      188         83.0
   000000301                Alberto Regazzoni           35      170         64.9
   000000302                      Alberto Rey           44      175         73.9
   000000303                   Alberto Rivera           40      168         66.2
   000000304                Alberto Rodriguez           34      183         71.2
   000000305                  Alberto Zapater           32      180         82.1
   000000306                     Albian Ajeti           21      183         77.1
   000000307                     Albin Ebondo           34      183         84.8
   000000308                      Albin Ekdal           28      185         82.1
   000000309                   Albion Avdijaj           24      191         79.8
   000000310                           Aldair           26      170         64.9
   000000311                     Aldin Turkes           22      193         74.8
   000000312                     Aldo Angoula           37      183         82.1
   000000313                      Aldo Kalulu           22      165         57.2
   000000314               Aldo Pedro Duscher           39      175         72.1
   000000315                    Aleandro Rosi           30      183         79.8
   000000316                      Alec Luyckx           22      175         66.2
   000000317                             Alef           23      185         71.2
   000000318                      Aleix Vidal           28      178         68.9
   000000319                 Alejandro Alfaro           31      175         73.0
   000000320                 Alejandro Alonso           36      170         68.0
   000000321                Alejandro Arribas           29      183         73.9
   000000322                 Alejandro Bedoya           31      178         73.0
   000000323            Alejandro Bergantinos           32      178         73.0
   000000324             Alejandro Daro Gomez           30      165         68.0
   000000325              Alejandro Dominguez           36      175         73.0
   000000326                Alejandro Faurlin           31      185         78.9
   000000327                 Alejandro Galvez           28      191         78.9
   000000328               Alejandro Gonzalez           30      183         78.9
   000000329        Alejandro Grimaldo Garcia           22      175         71.2
   000000330            Alejandro Martinuccio           30      178         73.0
   000000331                Alejandro Pozuelo           26      170         63.1
   000000332               Aleksandar Bjelica           24      185         79.8
   000000333                Aleksandar Cavric           23      185         76.2
   000000334             Aleksandar Damcevski           25      193         88.0
   000000335             Aleksandar Ignjovski           27      175         69.9
   000000336               Aleksandar Kolarov           32      188         83.0
   000000337             Aleksandar Kovacevic           26      173         69.9
   000000338               Aleksandar Lukovic           35      185         83.0
   000000339             Aleksandar Miljkovic           28      183         76.2
   000000340              Aleksandar Mitreski           37      185         74.8
   000000341              Aleksandar Mitrovic           23      188         82.1
   000000342                Aleksandar Pantic           26      185         76.2
   000000343                 Aleksandar Pesic           25      191         87.1
   000000344              Aleksandar Prijovic           28      193         87.1
   000000345              Aleksandar Rankovic           39      173         78.0
   000000346            Aleksandar Stevanovic           26      175         64.9
   000000347            Aleksandar Todorovski           34      180         73.0
   000000348                 Aleksandar Tonev           28      178         68.9
   000000349            Aleksandar Trajkovski           25      178         73.0
   000000350               Aleksandar Vasoski           38      180         76.2
   000000351              Aleksander Jagiello           23      165         59.9
   000000352                 Aleksander Kwiek           35      175         78.9
   000000353         Aleksander Radosavljevic           39      183         78.9
   000000354                Aleksander Seliga           38      185         78.9
   000000355                   Aleksandr Hleb           37      185         73.0
   000000356               Aleksandrs Fertovs           30      178         78.0
   000000357             Aleksei Kangaskolkka           29      188         83.9
   000000358                   Alen Halilovic           21      170         64.9
   000000359                   Alen Melunovic           28      191         78.9
   000000360                  Alen Stevanovic           27      180         83.0
   000000361                Alesandro Cordaro           32      170         68.0
   000000362              Alessandro Agostini           38      175         66.2
   000000363            Alessandro Bernardini           31      188         73.0
   000000364                 Alessandro Budel           37      183         82.1
   000000365              Alessandro Carrozza           36      178         76.2
   000000366             Alessandro Cerigioni           25      178         72.1
   000000367            Alessandro Ciarrocchi           30      191         82.1
   000000368             Alessandro Crescenzi           26      175         71.2
   000000369                 Alessandro Damen           27      185         83.0
   000000370             Alessandro Del Piero           43      175         73.9
   000000371              Alessandro Diamanti           35      180         74.8
   000000372              Alessandro Florenzi           27      173         67.1
   000000373                 Alessandro Frara           35      178         72.1
   000000374             Alessandro Gamberini           36      185         79.8
   000000375                 Alessandro Gazzi           35      183         81.2
   000000376              Alessandro Grandoni           40      180         76.2
   000000377             Alessandro Iacobucci           26      188         82.1
   000000378               Alessandro Iandoli           34      180         82.1
   000000379             Alessandro Lambrughi           30      180         77.1
   000000380                Alessandro Longhi           28      185         76.2
   000000381             Alessandro Lucarelli           40      183         78.0
   000000382           Alessandro Mangiarrati           39      183         78.0
   000000383                 Alessandro Matri           33      183         79.8
   000000384                 Alessandro Nesta           42      188         78.9
   000000385                Alessandro Parisi           41      183         74.8
   000000386                   Alessandro Piu           21      180         73.0
   000000387               Alessandro Potenza           34      185         78.9
   000000388                Alessandro Riedle           26      178         76.2
   000000389                Alessandro Rosina           34      168         67.1
   000000390               Alessandro Schoepf           24      178         74.8
   000000391               Alessandro Sgrigna           38      178         79.8
   000000392                    Alessio Cerci           30      180         78.0
   000000393                   Alessio Cragno           23      183         78.0
   000000394                  Alessio Da Cruz           21      180         69.9
   000000395                  Alessio Manzoni           31      178         64.9
   000000396                Alessio Romagnoli           23      188         78.0
   000000397                   Alessio Scarpi           45      188         83.0
   000000398                    Alessio Sestu           34      178         73.0
   000000399                    Alex Baptiste           32      180         73.9
   000000400                       Alex Bruce           33      180         81.2
   000000401                       Alex Bruno           24      170         60.8
   000000402                       Alex Bruno           36      188         86.2
   000000403                   Alex Calderoni           41      183         83.0
   000000404                      Alex Cooper           26      180         69.9
   000000405                   Alex Fernandez           25      180         68.0
   000000406                     Alex Ferrari           23      183         69.9
   000000407                   Alex Goncalves           27      183         76.2
   000000408                      Alex Harris           23      178         68.9
   000000409                    Alex Henshall           24      178         66.2
   000000410                       Alex Iwobi           22      180         74.8
   000000411                  Alex Kacaniklic           26      180         72.1
   000000412                      Alex Kakuba           26      178         72.1
   000000413                      Alex Keddie           37      188         83.0
   000000414                       Alex Lopez           30      173         64.0
   000000415                   Alex MacDonald           28      170         72.1
   000000416                   Alex Manninger           40      188         84.8
   000000417                    Alex Martinez           27      175         64.0
   000000418                    Alex McCarthy           28      193         78.9
   000000419                    Alex Menendez           26      180         67.1
   000000420                        Alex Neil           36      175         69.9
   000000421          Alex Oxlade-Chamberlain           24      175         69.9
   000000422                      Alex Pearce           29      188         84.8
   000000423                       Alex Perez           26      188         79.8
   000000424                     Alex Pinardi           37      180         73.9
   000000425                    Alex Portillo           25      180         72.1
   000000426                      Alex Sandro           27      180         78.0
   000000427                      Alex Schalk           25      170         68.0
   000000428                       Alex Silva           33      193         81.2
   000000429                      Alex Soares           27      178         68.0
   000000430                        Alex Song           30      185         73.9
   000000431                      Alex Telles           25      180         71.2
   000000432                   Alex Valentini           30      185         79.8
   000000433               Alex Von Schwedler           38      183         76.2
   000000434                             Alex           29      183         77.1
   000000435                             Alex           26      175         67.1
   000000436                             Alex           35      188         92.1
   000000437                Alexander Bannink           28      185         79.8
   000000438             Alexander Baumjohann           31      178         74.8
   000000439               Alexander Buettner           29      175         74.8
   000000440                 Alexander Bugera           39      180         74.8
   000000441                 Alexander Corryn           24      178         69.9
   000000442              Alexander Cristovao           25      185         84.8
   000000443                  Alexander Djiku           23      180         74.8
   000000444               Alexander Dragovic           27      185         78.9
   000000445                Alexander Esswein           28      183         84.8
   000000446               Alexander Farnerud           34      183         73.0
   000000447               Alexander Fransson           24      180         73.9
   000000448                   Alexander Frei           38      180         73.9
   000000449                 Alexander Gerndt           31      185         79.8
   000000450               Alexander Gonzalez           25      178         74.8
   000000451                   Alexander Hack           24      193         83.0
   000000452               Alexander Iashvili           40      175         71.2
   000000453                   Alexander Laas           34      173         69.9
   000000454                Alexander Madlung           35      193         92.1
   000000455               Alexander Mathisen           31      185         74.8
   000000456                  Alexander Meier           35      196         96.2
   000000457                 Alexander Merkel           26      178         67.1
   000000458              Alexander Milosevic           26      191         82.1
   000000459                   Alexander Ring           27      173         72.1
   000000460                 Alexander Scholz           25      188         87.1
   000000461               Alexander Schwolow           25      188         83.0
   000000462               Alexander Soerloth           22      193         89.8
   000000463                Alexander Stephan           31      188         83.9
   000000464                 Alexander Tettey           32      180         68.0
   000000465               Alexandr Kerzhakov           35      175         76.2
   000000466               Alexandre Alphonse           35      175         76.2
   000000467                Alexandre Azevedo           21      175         68.0
   000000468                 Alexandre Barthe           32      183         78.9
   000000469                 Alexandre Bonnet           31      173         64.9
   000000470                  Alexandre Coeff           26      185         72.1
   000000471              Alexandre Cuvillier           31      183         72.1
   000000472                 Alexandre D'Acol           31      185         74.8
   000000473            Alexandre Di Gregorio           38      175         79.8
   000000474                  Alexandre Geijo           35      188         81.2
   000000475                   Alexandre Hauw           36      175         68.0
   000000476              Alexandre Lacazette           26      175         73.0
   000000477              Alexandre Letellier           27      191         81.2
   000000478                 Alexandre Licata           34      178         76.2
   000000479                  Alexandre Mendy           24      183         86.2
   000000480                 Alexandre Pasche           26      175         69.9
   000000481                   Alexandre Pato           28      180         81.2
   000000482                Alexandre Quennoz           39      180         79.8
   000000483                Alexandre Raineau           31      178         71.2
   000000484                  Alexandre Silva           21      178         59.9
   000000485               Alexandros Tziolis           33      188         83.9
   000000486               Alexandros Tzorvas           35      188         79.8
   000000487                  Alexandru Maxim           27      178         73.0
   000000488               Alexei Jr Eremenko           35      180         78.9
   000000489                     Alexi Peuget           27      185         74.8
   000000490             Alexis Alegue Elandi           21      175         67.1
   000000491                      Alexis Blin           21      183         78.0
   000000492                   Alexis De Sart           21      180         74.8
   000000493            Alexis Norambuena Ruz           34      173         72.1
   000000494                     Alexis Rolin           29      185         76.2
   000000495                   Alexis Sanchez           29      170         62.1
   000000496                   Alexis Thebaux           33      185         81.2
   000000497                           Alexis           32      183         74.8
   000000498                    Alexy Bosetti           25      170         64.9
   000000499                   Alfonso Artabe           29      185         78.0
   000000500                 Alfonso De Lucia           34      185         83.9
   000000501                  Alfonso Pedraza           22      183         74.8
   000000502                    Alfonso Taira           25      178         67.1
   000000503                    Alfred Duncan           25      178         78.0
   000000504               Alfred Finnbogason           29      185         78.0
   000000505                   Alfred N'Diaye           28      191         79.8
   000000506                  Alfredo Morales           27      183         77.1
   000000507                   Alfredo Ortuno           27      183         83.9
   000000508             Alharbi El Jadeyaoui           31      178         69.9
   000000509                  Alhassan Wakaso           26      180         79.8
   000000510               Alhassane Bangoura           26      175         72.1
   000000511                  Alhassane Keita           26      180         78.9
   000000512                  Alhassane Keita           34      170         68.0
   000000513                        Ali Adnan           24      185         71.2
   000000514                      Ali Ahamada           26      188         83.0
   000000515                     Ali Al-Habsi           36      193         78.9
   000000516                   Ali Boussaboun           38      178         81.2
   000000517                       Ali Ghazal           26      188         83.9
   000000518                       Ali M'Madi           28      178         71.2
   000000519                     Ali Messaoud           27      183         76.2
   000000520                        Ali Yasar           23      180         69.9
   000000521                     Alim Oezturk           25      191         79.8
   000000522                        Aliou Dia           27      180         78.0
   000000523                      Alioun Fall           27      170         68.9
   000000524                 Alireza Haghighi           30      193         79.8
   000000525              Alireza Jahanbakhsh           24      180         74.8
   000000526                Alistair Crawford           26      178         63.1
   000000527                     Aljaz Struna           27      191         83.9
   000000528                       Alje Schut           37      193         97.1
   000000529                   Allan McGregor           36      183         83.9
   000000530                       Allan Nyom           29      188         81.2
   000000531                    Allan Russell           37      185         77.1
   000000532              Allan Saint-Maximin           21      173         67.1
   000000533                            Allan           27      175         73.9
   000000534                            Allan           21      180         69.9
   000000535                     Almamy Toure           22      183         72.1
   000000536     Almeida Anderson do Oliveira           37      188         88.9
   000000537           Almeida Borges Leandro           33      178         82.1
   000000538                       Almen Abdi           31      183         74.8
   000000539                      Almog Cohen           29      170         71.2
   000000540                    Alois Confais           21      175         60.8
   000000541                      Alou Diarra           36      191         78.9
   000000542                       Aloys Nong           34      180         77.1
   000000543                  Alpaslan Ozturk           24      185         83.0
   000000544                  Alphonse Areola           25      191         91.2
   000000545               Alphousseyni Keita           32      180         81.2
   000000546                       Altin Lala           42      173         68.0
   000000547                        Alvarinho           27      170         67.1
   000000548                   Alvaro Ampuero           25      183         77.1
   000000549                     Alvaro Anton           34      178         69.9
   000000550                   Alvaro Arbeloa           35      183         78.9
   000000551                    Alvaro Arroyo           29      180         76.2
   000000552                    Alvaro Cejudo           34      180         78.0
   000000553                 Alvaro Dominguez           28      188         83.0
   000000554                 Alvaro Dominguez           36      175         68.9
   000000555                 Alvaro Fernandez           32      185         72.1
